rna	k9ac	k36ac
MAVS	1.01361	3.26925	-0.0208662
MAX	0.348115	5.4168	0.439351
MB	-0.535352	17.0695	2.4295
MB21D1	5.25778	1.0535	-0.302621
MB21D2	0.0250668	4.69499	0.168511
MBD1	0.7931	0.0314987	-2.73947
MBD2	-0.16167	0.0452654	0.132375
MBD3	0.876958	3.85083	-1.73928
MBD4	0.0386294	2.42258	-1.42977
MBD5	0.573376	0.2104	0.267009
MBD6	-0.825584	1.57851	-3.58688
MBIP	-0.19423	6.74753	-0.420553
MBNL1	1.9896	23.006	0.428229
MBNL2	1.86419	17.0056	-0.342773
MBNL3	-0.113118	3.94204	1.26233
MBOAT2	0.0587764	0.0586157	0.689537
MBOAT7	0.102966	0.0157398	-4.63105
MBP	0.795964	10.0934	4.08158
MBTD1	0.612461	2.13765	-0.309056
MBTPS1	0.0433534	0.514693	-1.97854
MBTPS2	0.568951	1.04677	-1.0971
MC1R	0.377621	-0.0553224	-1.75538
MCAM	5.87743	1.11098	-0.529926
MCAT	0.4464	1.01894	-1.15488
MCC	-0.149423	0.785418	-1.0093
MCCC1	1.40978	2.86186	-1.67781
MCCC2	-0.0321636	0.591358	-0.211606
MCEE	-0.438754	0.668892	-0.346332
MCF2L	1.94662	-1.48627	-5.79506
MCF2L2	0.187884	2.21257	-0.874928
MCFD2	3.80153	2.89443	-0.791271
MCL1	9.53758	11.8076	6.24003
MCM2	-1.11126	-0.271363	-1.99865
MCM3	-0.123048	2.04146	0.200491
MCM3AP	0.440153	-0.015296	-2.02542
MCM3AP-AS1	-0.2327	-0.69946	0.391947
MCM4	-0.786321	0.126845	-1.267
MCM5	0.151968	0.600288	-0.309476
MCM6	-1.98385	1.529	0.317728
MCM7	-1.53038	0.469705	-0.88948
MCM9	0.183567	0.087295	-0.699803
MCMBP	0.397102	3.0665	0.581597
MCMDC2	-0.181074	1.61897	-0.011256
MCOLN1	0.377511	-0.627275	-5.76373
MCOLN3	0.334002	0.0281342	0.791636
MCPH1	-0.297071	-0.204394	0.439158
MCRS1	-2.81333	0.52016	-1.64179
MCTP1	0.313575	-0.730908	0.0656836
MCTS1	-0.448512	6.07841	0.464632
MCU	-0.49371	5.77204	-0.182001
MCUR1	0.089695	4.82214	-0.204414
MDC1	-0.00624475	2.01277	-1.43696
MDFIC	-0.0868463	2.76249	0.580288
MDGA1	-0.101071	0.70581	-4.35425
MDH1	-0.740877	4.64854	0.551974
MDH2	-0.696208	2.46221	-2.68399
MDK	1.48864	0.305818	-0.952131
MDM1	-0.00018051	5.52189	1.11562
MDM2	1.54202	3.83605	0.0941849
MDM4	0.0385223	3.50829	-0.852086
MDN1	1.24051	3.99862	-0.0642039
ME1	0.372941	2.9809	0.311938
ME2	0.729276	4.34416	-0.968767
ME2P1	0.59624	-1.49804	0.214405
ME3	-0.353709	4.5448	1.42585
MEAF6	0.275802	2.66731	-0.358408
MECOM	-0.628852	2.85428	-0.65233
MECP2	1.0641	7.20078	-0.628474
MECR	-0.975785	2.30298	-2.55924
MED1	0.257106	2.76743	-0.720525
MED10	-0.122449	1.82131	-0.399811
MED11	-0.842552	0.533903	-0.0275628
MED12	0.991329	1.4633	-0.864329
MED13	3.86056	12.1745	0.531709
MED13L	3.54566	7.81593	-0.342753
MED14	-0.247183	7.50832	0.146688
MED15	-0.202076	3.84815	-2.2887
MED16	0.382942	-0.263243	-5.80906
MED17	0.161564	2.02625	-1.40441
MED18	-1.10418	1.50354	-0.602346
MED21	1.27591	2.55536	-0.537424
MED23	0.205821	0.431215	0.29907
MED24	-1.02563	10.9294	0.147553
MED25	0.0998025	0.23644	0.123283
MED26	0.760535	2.84817	-0.19881
MED27	0.246586	2.90793	-1.72949
MED28	-0.853569	0.968797	-0.539951
MED30	-0.111076	2.4878	1.36139
MED4	-1.12546	4.37902	-0.510333
MED6	0.576933	1.73572	0.153764
MED7	0.0643777	-0.2898	-0.0979406
MED9	1.20698	8.84306	-0.258315
MEDAG	2.3542	0.132427	-0.596761
MEF2A	1.49686	11.5968	3.55957
MEF2BNB	-2.06803	-1.71489	-5.53949
MEF2C	0.582652	24.3942	-0.0659721
MEF2C-AS1	0.0679327	1.3562	0.299806
MEF2D	0.574967	9.87221	3.11243
MEG3	-0.995297	-1.19346	-1.61629
MEG9	-0.121088	-3.80444	-0.799586
MEGF10	0.0991641	4.65897	0.860122
MEGF6	-0.230969	-0.0102664	-4.48449
MEGF8	0.656911	0.587238	-4.89768
MEGF9	0.641462	3.60043	-0.0360473
MEIS1	-0.403246	1.7305	0.294187
MEMO1	0.0212293	2.37131	-0.565268
MEN1	-0.720603	1.86446	-2.82629
MEOX1	2.22076	2.38591	-1.87107
MEOX2	-0.366398	1.64312	1.05148
MERTK	0.240587	0.213103	-0.0374331
MESDC1	-0.0412126	0.252908	0.00188922
MESDC2	0.189591	3.59255	0.0499636
MESP1	-0.746338	0.452467	-0.678608
MET	1.54424	9.0199	1.19102
METAP1	-0.0965992	1.30328	0.252004
METAP1D	0.134177	1.25989	0.48883
METAP2	-0.402085	6.95687	-0.788947
METRN	0.0462091	0.0146897	-8.98314
METRNL	0.357786	-0.000670468	-6.71974
METTL10	-1.0292	1.58897	1.28992
METTL13	-0.676475	1.42286	-0.974439
METTL14	0.150439	9.94208	0.423069
METTL15	0.735564	-0.00583635	-0.0693868
METTL16	0.579734	7.14386	-1.67371
METTL17	-2.3499	2.68094	-1.47396
METTL20	0.441167	3.84624	0.320207
METTL21A	-0.0191163	2.92435	-0.251594
METTL21C	0.202029	2.40777	0.138501
METTL21EP	-0.175208	10.1171	0.913808
METTL22	-0.306219	1.1137	-3.56834
METTL25	-1.27377	-0.27345	-0.254126
METTL2A	0.492261	0.482012	-0.896695
METTL2B	-0.382122	2.14455	-0.588823
METTL3	-1.06047	2.58663	-1.22574
METTL5	-0.608701	4.02568	-0.311467
METTL6	-0.235214	1.60518	-0.402633
METTL7A	-0.873409	16.5825	1.80637
METTL7B	-0.834902	-0.0508567	0.745569
METTL8	0.742914	0.188946	0.329193
METTL9	0.0210255	5.58519	-0.848332
MEX3B	0.0676525	0.824921	-0.695103
MEX3C	0.52547	4.16571	-1.66117
MEX3D	0.172967	0.080753	-1.53004
MFAP1	0.495334	1.12124	-0.684059
MFAP3	0.836068	0.559505	-0.454903
MFAP3L	0.156196	3.09251	-0.245585
MFAP4	-0.401657	2.71756	0.267332
MFAP5	0.0276059	0.0368651	1.75272
MFF	0.0836228	1.16439	0.99725
MFGE8	0.613244	7.47444	-0.909674
MFHAS1	0.656769	-0.225115	-0.967931
MFI2	0.563577	-0.744491	-5.823
MFN1	0.33876	2.65904	0.00625201
MFN2	0.708785	6.53687	0.42823
MFNG	-0.155282	-1.23915	-3.53313
MFSD1	0.664554	3.21339	-0.473058
MFSD11	-0.935422	2.11262	0.594664
MFSD12	0.638744	-0.7685	-0.4517
MFSD3	-0.984887	0.878094	0.141194
MFSD5	-0.0397285	3.04301	-1.01855
MFSD6	0.301392	1.27512	-0.505729
MFSD7	-0.230927	0.174509	-2.94643
MFSD8	-0.412566	0.528507	0.0423776
MFSD9	0.714763	0.72004	1.13031
MGA	1.41421	2.2574	-0.679524
MGAT1	0.61585	5.64029	-0.555301
MGAT3	0.750697	-0.169862	-3.53381
MGAT4A	0.97017	2.87025	0.479711
MGAT4B	0.234942	0.977044	-2.08354
MGAT5	-0.696962	1.5345	-1.35789
MGEA5	0.750569	4.0433	-2.22949
MGLL	-0.138993	4.38942	-2.58494
MGMT	0.117534	0.751358	-0.74751
MGP	-1.34606	0.0960518	-1.59337
MGRN1	0.348416	1.1992	-7.33113
MGST1	0.339676	-0.65401	0.173809
MGST2	-0.132615	7.60421	2.22059
MGST3	-1.38461	8.6737	1.39159
MIA3	0.158938	3.59314	-0.401477
MIAT	0.629056	-0.578886	-0.0128784
MIATNB	0.0909666	0.912961	-0.490035
MIB1	1.412	7.49352	0.269248
MIB2	-0.464314	1.10073	-1.61542
MICA	0.197248	-0.0105298	-0.0521954
MICAL1	0.410822	1.36647	-2.4343
MICAL2	-0.175355	0.641424	-1.05257
MICAL3	0.342439	3.40543	-1.82839
MICALL1	0.175611	0.386257	-2.31757
MICALL2	-1.26794	-2.21166	-6.25258
MICU1	-0.69046	5.54589	-0.529237
MICU2	-0.717999	0.961967	-0.925198
MICU3	-0.47482	1.8677	-0.0135965
MID1	-0.800974	0.646673	0.537774
MID1IP1	0.866479	0.897048	1.41032
MID2	0.0456138	2.11118	0.269999
MIDN	4.43472	3.72578	0.28391
MIEF1	-0.367614	2.79866	-1.25734
MIEF2	-1.90583	4.18007	-0.192089
MIEN1	-2.61368	-0.00467033	0.0960692
MIER1	1.21422	7.95607	-1.09826
MIER2	0.132292	0.605095	-2.70022
MIER3	1.1622	1.199	-0.337869
MIF4GD	0.121227	0.925602	-0.701056
MIIP	0.122232	0.0226765	-1.40115
MINA	0.338496	6.26443	0.0702749
MINK1	-0.390695	0.342899	-3.02763
MINOS1P2	0.0785059	-0.166048	-2.04641
MINOS1P3	0.404741	-1.03291	0.365039
MINPP1	-1.32238	2.97307	-0.00922036
MIOS	0.43757	0.187046	0.219371
MIPEP	0.0904369	1.62631	0.51064
MIPOL1	-0.864702	1.79147	0.32506
MIR133A1HG	-27.362	8.9062	2.10928
MIR133B	-0.16164	-0.957499	-0.245486
MIR143HG	-6.09006	0.998717	-2.42842
MIR222HG	1.56819	4.53192	0.229091
MIR29B1	0.3798	7.86524	1.12181
MIR3916	0.578613	1.88836	-1.14516
MIR3936	0.395624	4.79117	4.2393
MIR4426	-0.669769	-0.0455194	0.813774
MIR4435-1HG	-0.0658444	0.128194	-0.255333
MIR4458HG	-1.73934	0.696218	0.489834
MIR4697HG	-1.34924	0.355587	-0.416496
MIR600HG	-0.0623301	0.913588	-0.975149
MIR6818	-1.12482	2.90784	-2.2144
MIR6820	-0.685657	1.00796	-1.50557
MIR99AHG	0.918971	11.2067	3.23919
MIRLET7BHG	0.111516	8.20597	0.300726
MIS18A	-0.0960407	1.73335	0.25724
MIS18BP1	-0.199539	2.09277	0.638085
MITD1	-0.999026	3.77122	0.756276
MITF	1.93503	10.0574	2.62013
MKKS	-0.689588	2.37658	0.445097
MKL1	-3.20836	6.22468	-1.12127
MKL2	1.28692	5.79306	1.32191
MKLN1	0.591909	2.36959	0.983396
MKLN1-AS	-0.815251	0.713081	0.229994
MKNK1	0.0175354	0.249534	-2.50793
MKNK2	1.93903	6.6576	0.123075
MKRN1	-7.67156e-05	2.62213	0.297746
MKRN2	0.532809	3.24446	-0.0572423
MKRN9P	0.664424	-1.73652	0.769827
MKS1	-1.77157	-0.237161	-0.794173
MLANA	-0.501071	0.058242	1.40111
MLEC	-0.28777	6.81152	0.125152
MLF1	-0.0692347	1.0967	0.418182
MLF2	-1.07283	2.21165	-0.87201
MLH1	0.618263	2.05319	-0.516289
MLH3	0.163825	3.88221	0.805577
MLIP	0.581358	16.7889	3.09994
MLKL	0.492297	0.230578	-1.98693
MLLT1	1.10442	0.591938	-3.67258
MLLT10	0.352472	6.7812	0.243455
MLLT11	1.87539	1.24922	0.482573
MLLT3	-0.559342	6.99251	0.211753
MLLT4	2.7646	1.87315	1.4863
MLLT6	0.0914005	0.976897	-2.11802
MLPH	0.0733118	-0.194158	-3.18858
MLX	-0.616775	0.22299	-0.796645
MLXIP	0.784733	5.16369	-1.78173
MLXIPL	-1.65059	0.734543	-5.7124
MLYCD	0.0611035	5.22671	-0.362012
MMAA	0.715509	9.71839	0.667528
MMACHC	-0.133785	1.3858	-0.417744
MMADHC	-0.097985	-0.117963	-0.134523
MMD	0.435854	2.51557	-0.00980362
MME	2.5021	0.760899	2.95089
MMGT1	-0.193815	2.10007	-0.978313
MMP14	0.105412	0.622403	-1.89421
MMP15	0.544089	0.700998	-3.07445
MMP19	0.205207	0.180854	-0.539708
MMP2	0.0608248	0.161627	-1.59212
MMP24-AS1	-0.718371	-0.565144	-3.82902
MMP28	-0.806829	-0.128568	-3.6785
MMRN2	3.35211	0.189573	-3.47989
MMS19	-0.292089	2.69405	-0.770739
MMS22L	-0.640734	0.234139	0.0835066
MN1	-0.179121	5.41804	0.198117
MNAT1	-0.176191	13.4649	0.831732
MNS1	-0.213886	2.58211	1.9796
MNT	0.066452	6.97076	3.98515
MOB1A	1.33164	3.03041	-1.28923
MOB1B	1.13769	2.74687	0.390802
MOB2	-0.860222	0.509457	-5.24407
MOB3A	-0.0362528	1.77973	-0.783121
MOB3B	0.368176	4.64321	0.0578515
MOB3C	2.58833	1.04896	0.755882
MOCS1	0.980473	3.68758	-0.0330258
MOCS2	-0.351519	2.05308	-0.0710675
MOGS	0.134793	1.1152	-0.486834
MOK	-0.0542808	0.20459	-2.10446
MON1A	0.230883	2.22692	-0.509048
MON1B	-0.363948	1.76411	0.0367604
MON2	0.837762	5.61656	0.400006
MORC2	-0.0531711	0.0359011	-2.09539
MORC3	3.36355	2.44861	-0.14157
MORC4	0.00135961	1.168	-0.149908
MORF4L1	-0.369149	7.69137	0.0436345
MORF4L1P1	-0.300054	0.180985	-0.366986
MORF4L2	0.866606	2.81232	0.0413055
MORN1	0.455893	-0.280726	-2.64868
MORN4	-1.08543	2.17128	-0.301887
MOSPD1	-0.163354	0.553548	-0.288484
MOSPD2	1.37812	0.278955	-0.0879749
MOSPD3	-0.587315	2.58601	0.201486
MOV10	-0.458575	3.34462	-0.0962193
MPC1	-0.844085	1.11468	0.179541
MPDZ	1.57477	2.1559	0.0305764
MPEG1	-0.223274	1.46069	-1.17656
MPG	-0.462432	1.01202	-1.01875
MPHOSPH10	0.746759	0.704258	-0.209748
MPHOSPH8	-1.60959	4.96257	-1.28445
MPHOSPH9	0.0479617	1.42216	-2.79011
MPI	-0.57681	2.24204	-0.744523
MPO	0.195016	-0.859849	-1.68796
MPP1	-0.0186281	0.672556	-0.620051
MPP2	-1.58215	1.27118	-3.71142
MPP5	1.84204	4.79292	0.248027
MPP6	0.0149341	5.98556	0.361096
MPP7	0.194505	4.44459	1.25686
MPPE1	-0.153781	0.188712	-0.351432
MPPED2	-0.476852	-0.0319859	1.2593
MPRIP	1.09664	5.65301	-1.20186
MPST	-0.196703	-0.116741	-2.66595
MPV17	0.374153	8.51207	-0.166444
MPV17L2	0.263881	3.4388	0.123604
MPZL1	-0.239194	3.17536	-0.397755
MR1	0.269408	3.55156	3.38376
MRAP2	-0.202126	-0.516996	-1.47374
MRAS	0.119143	7.9734	-0.170427
MRC1	2.07622	0.270455	0.109219
MRC2	-0.0185797	-2.65786	-4.3217
MRE11A	-0.0219345	0.99019	0.031741
MRFAP1	0.191003	5.84008	-0.802394
MRFAP1L1	-0.939617	12.2868	-1.36436
MRGBP	0.489153	2.22482	0.236744
MRGPRF	-0.174502	-0.442429	-0.487991
MRI1	-0.0579843	1.21209	-1.08938
MRM1	-0.246285	1.74489	0.0494866
MRO	-0.441761	2.97483	0.712483
MROH1	-0.291523	-0.0280578	-4.36323
MROH6	-0.554187	0.31636	-3.21367
MROH7	0.0412941	-0.603857	-0.272108
MROH8	-0.497836	0.352127	0.258227
MRPL1	-1.56931	0.406169	0.316461
MRPL10	-1.40209	0.707867	-0.587421
MRPL11	-0.950641	0.364993	-1.26924
MRPL13	-0.603871	2.13952	1.38218
MRPL15	-1.72842	9.063	0.0966266
MRPL16	-0.453504	2.90116	-0.0827172
MRPL17	-2.04643	2.12054	-2.26545
MRPL19	0.6273	6.64524	0.210667
MRPL22	-0.704571	5.59323	-1.17736
MRPL23	-0.203888	0.894669	0.976605
MRPL24	-0.54695	6.25567	-1.18164
MRPL27	-2.16244	0.133471	-0.997127
MRPL28	-0.329991	0.577241	-2.21098
MRPL3	-0.351996	3.83473	-0.381796
MRPL30	-1.02813	1.44487	0.051788
MRPL32	-4.37335	0.974597	0.0443592
MRPL33	-1.79354	8.4949	2.1137
MRPL34	-0.463136	0.242276	-1.13255
MRPL35	-0.0785542	8.60843	0
MRPL36	-0.350644	0.266683	-0.51687
MRPL37	-1.45216	-0.264674	-1.34349
MRPL38	1.42646	2.52711	-2.48032
MRPL39	1.83202	4.3952	-0.672561
MRPL3P1	-0.282471	-0.614585	0.240021
MRPL4	-0.199088	2.26546	-2.27251
MRPL40	-1.35887	-0.342506	-0.118558
MRPL42	0.10129	2.66188	-0.0326553
MRPL44	-0.686173	4.77088	-0.631812
MRPL45	-1.59876	1.3896	0.672345
MRPL46	-0.275153	1.00427	-0.398591
MRPL48	0.470308	3.35605	-0.112893
MRPL49	-0.378054	0.354083	-1.50752
MRPL55	-0.633362	3.91882	0.166667
MRPS10	-0.118682	10.3236	0.00745278
MRPS11	-2.54461	0.801767	-0.568737
MRPS14	-1.77087	0.664986	-1.59736
MRPS15	-0.493307	5.67644	-1.57621
MRPS18A	0.38754	8.94744	0.678443
MRPS18C	-0.586515	3.68481	-0.190005
MRPS21	-0.988106	2.37106	0.0559066
MRPS22	-0.0316926	0.336715	-1.50071
MRPS23	-0.881911	8.55129	1.55902
MRPS25	-1.64403	4.74307	-0.157665
MRPS26	-0.352097	0.758229	-0.440644
MRPS27	-0.418545	5.82436	0.123865
MRPS28	-1.48653	9.09926	0.663304
MRPS30	0.44207	2.45754	0.276174
MRPS31	-0.131668	3.36649	0.339738
MRPS33	-0.996978	2.55238	-0.459518
MRPS36	-0.245182	3.1364	0.41371
MRPS36P1	-1.0226	-0.297041	0.56385
MRPS5	-0.013875	1.81692	0.309631
MRPS6	0.130451	0.943174	-0.101748
MRPS9	-0.739222	2.68313	0.635935
MRRF	0.11177	0.614756	-0.533909
MRS2	-0.0645266	4.18033	0.829292
MRTO4	-2.49957	-0.364182	-2.71209
MRVI1	0.589957	1.56804	0.0568402
MS4A6A	-0.217907	-0.0877779	-0.120423
MS4A7	0.41034	-1.77457	-0.12123
MS4A8	-0.238676	0.100256	-0.801767
MSANTD1	-1.01926	-1.96252	-3.10867
MSANTD2	0.73396	0.248213	-0.438877
MSANTD3	-0.142072	3.06204	0.0527611
MSANTD4	2.21691	1.98492	-0.828694
MSH2	-0.162	0.816111	-0.0231045
MSH3	0.675892	0.00873984	1.27822
MSH4	-0.261499	1.23382	-0.367596
MSH6	0.402157	0.115937	-0.0895613
MSI2	-0.00255637	11.7824	0.843001
MSL1	0.495877	5.87304	-0.936239
MSL2	4.52383	7.35977	1.54556
MSL3	-0.333066	3.40354	-1.091
MSMO1	-0.36361	6.04785	-0.404904
MSN	5.55143	1.85694	0.0793066
MSNP1	1.56069	-0.701723	-0.182888
MSRA	-0.496214	0.281411	0.570987
MSRB1	-1.76132	3.08743	-2.14207
MSRB2	0.0140921	1.0037	-0.193549
MSRB3	0.713761	0.765485	-0.194957
MSS51	-0.494636	12.3918	0.553946
MST1R	-0.0103829	-1.56137	-1.4116
MSTN	-0.113207	12.7811	1.77895
MSTO1	-0.037475	0.257614	-1.60012
MSX1	3.47156	1.17321	-3.93158
MSX2	0.0404635	3.5299	-3.33155
MT1E	0.367853	1.35223	0.336546
MT1M	0.965801	0.624322	-0.320651
MT1XP1	-0.271116	2.10092	-4.49027
MT2A	-0.00798087	2.34849	0.373555
MT2P1	0.941075	1.96143	-0.0737162
MTA1	-0.016697	-0.0423846	-9.20039
MTA2	1.65026	2.44987	-0.513138
MTA3	-0.309798	1.34516	-0.758752
MTAP	-0.186798	0.65858	-0.0545056
MTBP	0.541718	1.71297	1.04825
MTCH1	2.26021	5.62696	-0.523523
MTCH2	0.0896906	2.45902	-1.67415
MTCL1	1.25825	-0.301998	-0.867994
MTCO1P5	-6.13702	-0.124814	0.488014
MTDH	0.168742	3.81815	0.283312
MTERF1	0.128114	3.17993	1.25665
MTERF2	-0.370709	6.23711	0.893937
MTERF3	0.00626792	0.822639	-0.825086
MTERF4	-0.537646	3.88544	-2.15682
MTF1	1.86425	2.25895	-1.37855
MTF2	0.181838	8.81672	0.0848663
MTFMT	0.165465	1.14464	-0.0156898
MTFP1	0.721604	1.40075	-1.52566
MTFR1	0.632519	2.24623	0.0242399
MTFR1L	-0.141033	2.23709	-1.07286
MTG1	0.152698	0.749359	-1.62147
MTG2	0.0282309	0.965332	-6.77583
MTHFD1	0.698573	3.23841	-1.54745
MTHFD1P1	0.839571	-0.355487	0.924697
MTHFD2	-1.01	1.71307	-0.322862
MTHFD2L	0.1743	0.16333	0.93429
MTHFD2P7	-0.0501361	-1.10045	0.554807
MTHFR	0.119751	4.45936	0.00109599
MTHFSD	0.0320657	0.328521	-1.69828
MTIF2	-0.111381	1.02766	-0.541375
MTIF3	-0.652686	4.44188	-0.111815
MTM1	0.194495	3.02549	-0.282026
MTMR1	0.275626	3.49285	-0.0918123
MTMR10	0.819118	7.54274	0.0200968
MTMR11	0.126039	1.53845	0.910704
MTMR12	2.08396	2.79374	-0.813386
MTMR14	0.45343	3.85114	-1.54256
MTMR2	0.779228	6.04851	0.0708281
MTMR3	0.87683	1.58873	-4.2562
MTMR4	-0.039598	1.62618	-1.83893
MTMR6	0.272192	3.44425	0.25698
MTMR7	-0.865914	-0.364934	0.957703
MTMR9	0.828879	1.3402	0.357299
MTMR9LP	-2.66919	1.22172	-0.926487
MTO1	1.44681	-0.28356	-0.265521
MTOR	1.27649	1.39589	-0.519359
MTPAP	0.425428	13.6672	2.21423
MTPN	0.953464	5.4791	-0.10441
MTR	2.56736	3.59682	-0.405927
MTRF1	-0.602992	4.53978	-0.363937
MTRF1L	0.028943	6.41788	-0.42349
MTRNR2L12	1.46846	-0.742094	-0.699207
MTRNR2L3	0.550395	-0.0341183	0.594853
MTRR	0.486394	1.8221	0.3105
MTSS1	-0.929444	5.34066	0.258335
MTSS1L	0.122259	2.91278	-2.75162
MTTP	0.414768	3.70848	1.21684
MTURN	1.30845	1.61137	-1.88998
MTUS1	1.61645	21.8175	1.50799
MTX2	-1.80244	0.0501709	-0.593749
MUC16	-0.371588	-7.61801	-0.188931
MUC20	-0.0542188	-0.141032	-0.178303
MUC3A	2.40739	-2.85993	-0.34916
MUC4	-1.93743	-2.17676	-3.16719
MUC6	-0.946856	-3.0974	-7.19976
MUL1	-1.03279	2.98219	-0.578138
MUM1	0.981236	2.25077	-1.521
MUM1L1	-0.0338035	1.62257	-0.33865
MURC	-0.014817	7.46815	0.838152
MUTYH	-0.208836	-0.479638	-3.07087
MVB12B	-0.37296	3.26793	-0.736378
MVD	-0.72925	-0.500591	-0.407583
MVK	-0.096961	-0.268842	-0.618727
MVP	-0.717447	0.3107	-3.39905
MX1	0.174558	0.0200155	-0.261108
MX2	-0.12064	-3.68441	-1.05365
MXD1	4.03327	4.97398	0.200156
MXD3	-0.102549	1.09377	-2.29664
MXD4	-0.81718	1.40035	-2.60819
MXI1	0.166345	6.4289	0.47311
MXRA5	0.0299167	-0.562913	-1.80221
MXRA7	0.39969	2.73282	-0.589468
MXRA8	-1.14384	0.352315	-5.14866
MYADML2	-1.30768	-0.0954888	-1.08006
MYBBP1A	-0.168016	2.89024	-2.80228
MYBL1	-0.315804	2.61318	-1.16835
MYBPC1	0.971995	20.8937	0.965104
MYBPC2	0.638662	5.9285	-0.623032
MYBPH	-0.490693	1.91372	-1.34551
MYC	5.68184	5.46241	-0.135767
MYCBP2	0.510773	5.79514	0.14889
MYCT1	1.08379	0.94975	0.764329
MYD88	1.5489	-0.200654	-1.95315
MYEF2	-0.563279	-0.505771	1.18848
MYEOV2	-0.694829	1.18157	-3.09545
MYF5	0.0359023	1.91674	0.58585
MYF6	0.609101	24.1581	3.16874
MYH1	-0.0546344	4.96687	-0.158574
MYH10	0.368103	-0.170033	-0.211542
MYH11	0.100383	0.118886	-0.850999
MYH13	-1.68438	-1.49591	0.955361
MYH14	3.06685	0.431269	-2.75661
MYH2	3.47825	7.09167	0.458958
MYH3	-2.30175	1.49354	-2.95928
MYH4	-0.849238	0.874499	0.0396721
MYH6	-0.372376	-1.71986	-2.77533
MYH7	0.291859	1.10525	-1.03892
MYH7B	-1.19313	2.49786	-0.62026
MYH8	0.366401	0.683418	0.771307
MYH9	2.7878	2.88535	-2.83818
MYL1	-1.30852	19.0693	2.14179
MYL12A	-0.252303	37.9757	0.482556
MYL12B	-0.130585	0.832292	0.0888958
MYL2	-0.440288	1.60403	-0.109935
MYL3	-0.999125	2.99085	-0.112485
MYL5	-0.0395494	0.122653	-4.61506
MYL6	-0.0370265	4.41443	-1.67657
MYL6B	-1.5505	8.9052	-0.145526
MYL6P3	-0.609764	-0.752508	1.23378
MYL9	0.572396	0.653117	-2.05212
MYLIP	0.105666	7.07774	0.291575
MYLK	0.548323	-0.740075	-2.11882
MYLK2	-0.651633	8.76037	-0.204237
MYLK3	0.163779	0.987218	-0.718912
MYLK4	-0.398408	10.369	0.838977
MYLPF	-1.51475	3.36292	0.507911
MYNN	1.21997	5.87047	0.381705
MYO10	0.471979	0.597713	-2.17526
MYO15A	-3.69511	-0.369597	-5.18291
MYO15B	-1.83821	-0.798076	-12.1114
MYO18A	0.674292	2.79314	-11.0222
MYO18B	1.55923	3.1876	-1.95242
MYO19	-1.24812	-0.381076	-3.7836
MYO1B	0.325592	-0.0947239	1.43065
MYO1C	1.33987	2.05147	-0.24382
MYO1D	-0.0923873	0.250843	0.157382
MYO1E	3.3043	-0.605003	-1.09788
MYO1F	-0.0642397	-1.01429	-3.71297
MYO1G	-0.717386	0.156799	-0.776421
MYO5A	0.122239	3.64187	0.22631
MYO5C	0.00955407	0.890222	-0.952366
MYO6	0.00623748	2.11851	-0.197209
MYO7A	-1.91511	-2.36471	-0.517807
MYO7B	-0.230175	-1.72276	-3.32906
MYO9A	0.612412	1.23083	-0.0166119
MYO9B	-0.284886	-0.802875	-5.46835
MYOC	0.198897	2.38944	3.60919
MYOD1	0.130761	2.82361	-1.1756
MYOF	-0.0402089	0.692933	-0.210174
MYOG	-0.38513	5.48406	0.576116
MYOM1	0.940979	22.3141	0.0958699
MYOM2	0.753392	9.74718	-0.017937
MYOM3	0.00971192	3.37606	-1.18418
MYOT	0.227275	22.4718	0.418984
MYOZ1	-0.143532	7.96509	0.559638
MYOZ2	-0.690917	3.68967	-0.82454
MYOZ3	0.107165	11.9476	0.551895
MYPN	0.874631	23.7248	2.21063
MYPOP	-0.0341204	4.95288	-1.07813
MYRIP	0.511181	0.653985	-0.446235
MYSM1	-0.182057	6.71312	1.12359
MYZAP	0.00250065	0.545666	2.32068
MZF1	-0.755551	0.358662	-4.08136
N4BP1	0.644429	8.53324	1.07593
N4BP2	0.459315	0.36506	0.463111
N4BP2L1	-0.457151	3.08016	1.48763
N4BP2L2	0.481087	11.1679	0.161651
N4BP3	0.008959	0.112225	-3.39576
N6AMT1	0.39479	5.73152	0.958933
N6AMT2	-0.429092	2.77896	-0.761878
NAA15	0.903637	1.27989	-0.208804
NAA16	0.324533	9.49661	0.157138
NAA20	-0.322626	3.88627	-0.541402
NAA25	0.558806	3.32266	-0.259299
NAA30	1.71746	5.13475	-0.5032
NAA35	0.217386	4.21707	0.0111681
NAA40	-1.0576	1.91737	-0.999962
NAA50	0.595378	6.58961	0.737711
NAA60	-0.326214	1.00009	-0.594531
NAAA	-0.0502706	0.525354	-0.79228
NAALAD2	0.0834231	1.23835	-0.0169194
NAALADL2	1.75474	7.14025	4.50348
NAB1	0.0550376	4.24895	0.835373
NAB2	5.84536	0.116349	-0.807031
NABP1	0.775607	7.69088	0.785795
NABP2	-0.481248	0.444319	-0.734529
NACA	0.624186	7.03202	-0.123241
NACA2	-0.768093	-1.38635	0.965402
NACA3P	-0.0303815	-0.44582	0.783172
NACC1	0.630324	-0.0525279	-0.732953
NACC2	1.31787	1.35698	-1.65256
NADK	0.100521	1.63383	-5.63991
NADK2	1.05754	5.53096	1.23439
NADSYN1	-0.299052	-1.13092	-1.44665
NAE1	0.0930954	2.06368	-1.10895
NAF1	2.30651	5.95446	0.311282
